mutation_id	sample_id	cluster_id	cellular_prevalence	cellular_prevalence_std	cluster_assignment_prob
S_1115	example	0	0.6825	0.0175	0.3616
S_1234	example	0	0.6825	0.0175	0.3616
S_1312	example	0	0.6825	0.0175	0.3616
S_1417	example	0	0.6825	0.0175	0.4030
S_1686	example	0	0.6825	0.0175	0.3616
S_1928	example	0	0.6825	0.0175	0.4360
S_2152	example	0	0.6825	0.0175	0.4030
S_2356	example	0	0.6825	0.0175	0.4030
S_2430	example	0	0.6825	0.0175	0.4030
S_2575	example	0	0.6825	0.0175	0.3616
S_2902	example	0	0.6825	0.0175	0.4030
S_2991	example	0	0.6825	0.0175	0.3616
S_3026	example	0	0.6825	0.0175	0.3616
S_3220	example	0	0.6825	0.0175	0.4608
S_410	example	0	0.6825	0.0175	0.3616
S_444	example	0	0.6825	0.0175	0.3616
S_647	example	0	0.6825	0.0175	0.3616
S_75	example	0	0.6825	0.0175	0.4030
S_789	example	0	0.6825	0.0175	0.3616
S_1	example	1	1.0000	0.0000	0.9968
S_10	example	1	1.0000	0.0000	0.8737
S_100	example	1	1.0000	0.0000	0.9385
S_1000	example	1	1.0000	0.0000	0.9575
S_1001	example	1	1.0000	0.0000	0.9115
S_1002	example	1	1.0000	0.0000	0.4683
S_1003	example	1	1.0000	0.0000	0.9861
S_1004	example	1	1.0000	0.0000	0.9968
S_1005	example	1	1.0000	0.0000	0.9984
S_1006	example	1	1.0000	0.0000	0.9575
S_1007	example	1	1.0000	0.0000	0.6708
S_1008	example	1	1.0000	0.0000	0.8222
S_1009	example	1	1.0000	0.0000	0.9861
S_101	example	1	1.0000	0.0000	0.9861
S_1010	example	1	1.0000	0.0000	0.6708
S_1011	example	1	1.0000	0.0000	0.9933
S_1012	example	1	1.0000	0.0000	0.9575
S_1013	example	1	1.0000	0.0000	0.8222
S_1014	example	1	1.0000	0.0000	0.9861
S_1015	example	1	1.0000	0.0000	0.9798
S_1016	example	1	1.0000	0.0000	0.9115
S_1017	example	1	1.0000	0.0000	0.5732
S_1018	example	1	1.0000	0.0000	0.9995
S_1019	example	1	1.0000	0.0000	0.9933
S_102	example	1	1.0000	0.0000	0.8737
S_1020	example	1	1.0000	0.0000	0.9968
S_1021	example	1	1.0000	0.0000	0.7547
S_1022	example	1	1.0000	0.0000	0.9904
S_1023	example	1	1.0000	0.0000	0.9861
S_1024	example	1	1.0000	0.0000	0.4683
S_1025	example	1	1.0000	0.0000	0.9798
S_1026	example	1	1.0000	0.0000	0.9707
S_1027	example	1	1.0000	0.0000	0.9904
S_1028	example	1	1.0000	0.0000	0.9115
S_1029	example	1	1.0000	0.0000	0.9575
S_103	example	1	1.0000	0.0000	0.9115
S_1030	example	1	1.0000	0.0000	0.9861
S_1031	example	1	1.0000	0.0000	0.9798
S_1032	example	1	1.0000	0.0000	0.7547
S_1033	example	1	1.0000	0.0000	0.9954
S_1034	example	1	1.0000	0.0000	0.9798
S_1035	example	1	1.0000	0.0000	0.9115
S_1036	example	1	1.0000	0.0000	0.9904
S_1037	example	1	1.0000	0.0000	0.9904
S_1038	example	1	1.0000	0.0000	0.9385
S_1039	example	1	1.0000	0.0000	0.9968
S_104	example	1	1.0000	0.0000	0.9385
S_1040	example	1	1.0000	0.0000	0.9968
S_1041	example	1	1.0000	0.0000	0.9861
S_1042	example	1	1.0000	0.0000	0.9861
S_1043	example	1	1.0000	0.0000	0.9798
S_1044	example	1	1.0000	0.0000	0.9861
S_1045	example	1	1.0000	0.0000	0.9989
S_1046	example	1	1.0000	0.0000	0.8222
S_1047	example	1	1.0000	0.0000	0.9707
S_1048	example	1	1.0000	0.0000	0.9904
S_1049	example	1	1.0000	0.0000	0.5732
S_105	example	1	1.0000	0.0000	0.8222
S_1050	example	1	1.0000	0.0000	0.9707
S_1051	example	1	1.0000	0.0000	0.9385
S_1052	example	1	1.0000	0.0000	0.9968
S_1053	example	1	1.0000	0.0000	0.9575
S_1054	example	1	1.0000	0.0000	0.8222
S_1055	example	1	1.0000	0.0000	0.9992
S_1056	example	1	1.0000	0.0000	0.9798
S_1057	example	1	1.0000	0.0000	0.9707
S_1058	example	1	1.0000	0.0000	0.9707
S_1059	example	1	1.0000	0.0000	0.8222
S_106	example	1	1.0000	0.0000	0.9115
S_1060	example	1	1.0000	0.0000	0.9115
S_1061	example	1	1.0000	0.0000	0.9968
S_1062	example	1	1.0000	0.0000	0.9575
S_1063	example	1	1.0000	0.0000	0.9115
S_1064	example	1	1.0000	0.0000	0.9707
S_1065	example	1	1.0000	0.0000	0.9115
S_1066	example	1	1.0000	0.0000	0.9798
S_1067	example	1	1.0000	0.0000	0.8737
S_1068	example	1	1.0000	0.0000	0.9861
S_1069	example	1	1.0000	0.0000	0.9984
S_107	example	1	1.0000	0.0000	0.8222
S_1070	example	1	1.0000	0.0000	0.9707
S_1071	example	1	1.0000	0.0000	0.8222
S_1072	example	1	1.0000	0.0000	0.9798
S_1073	example	1	1.0000	0.0000	0.8737
S_1074	example	1	1.0000	0.0000	0.9115
S_1075	example	1	1.0000	0.0000	0.9707
S_1076	example	1	1.0000	0.0000	0.9798
S_1077	example	1	1.0000	0.0000	0.9115
S_1078	example	1	1.0000	0.0000	0.8222
S_1079	example	1	1.0000	0.0000	0.9575
S_108	example	1	1.0000	0.0000	0.9968
S_1080	example	1	1.0000	0.0000	0.9575
S_1081	example	1	1.0000	0.0000	0.8222
S_1082	example	1	1.0000	0.0000	0.9933
S_1083	example	1	1.0000	0.0000	0.8737
S_1084	example	1	1.0000	0.0000	0.9575
S_1085	example	1	1.0000	0.0000	0.9954
S_1086	example	1	1.0000	0.0000	0.9904
S_1087	example	1	1.0000	0.0000	0.8737
S_1088	example	1	1.0000	0.0000	0.6708
S_1089	example	1	1.0000	0.0000	0.9861
S_109	example	1	1.0000	0.0000	0.9575
S_1090	example	1	1.0000	0.0000	0.9968
S_1091	example	1	1.0000	0.0000	0.9798
S_1092	example	1	1.0000	0.0000	0.9904
S_1093	example	1	1.0000	0.0000	0.9575
S_1094	example	1	1.0000	0.0000	0.9115
S_1095	example	1	1.0000	0.0000	0.9933
S_1096	example	1	1.0000	0.0000	0.9385
S_1097	example	1	1.0000	0.0000	0.9904
S_1098	example	1	1.0000	0.0000	0.9904
S_1099	example	1	1.0000	0.0000	0.9707
S_11	example	1	1.0000	0.0000	0.9115
S_110	example	1	1.0000	0.0000	0.8737
S_1100	example	1	1.0000	0.0000	0.9385
S_1101	example	1	1.0000	0.0000	0.9861
S_1102	example	1	1.0000	0.0000	0.9385
S_1103	example	1	1.0000	0.0000	0.9798
S_1104	example	1	1.0000	0.0000	0.9575
S_1105	example	1	1.0000	0.0000	0.4683
S_1106	example	1	1.0000	0.0000	0.9575
S_1107	example	1	1.0000	0.0000	0.9575
S_1108	example	1	1.0000	0.0000	0.9115
S_1109	example	1	1.0000	0.0000	0.9954
S_111	example	1	1.0000	0.0000	0.9707
S_1110	example	1	1.0000	0.0000	0.9933
S_1111	example	1	1.0000	0.0000	0.8737
S_1112	example	1	1.0000	0.0000	0.9575
S_1113	example	1	1.0000	0.0000	0.9575
S_1114	example	1	1.0000	0.0000	0.9933
S_1116	example	1	1.0000	0.0000	0.9798
S_1117	example	1	1.0000	0.0000	0.9968
S_1118	example	1	1.0000	0.0000	0.9385
S_1119	example	1	1.0000	0.0000	0.8737
