mutation_id	sample_id	cluster_id	cellular_prevalence	cellular_prevalence_std	cluster_assignment_prob
S_1	example	0	0.9997	0.0018	0.9895
S_10	example	0	0.9997	0.0018	0.8078
S_100	example	0	0.9997	0.0018	0.9970
S_101	example	0	0.9997	0.0018	0.7251
S_102	example	0	0.9997	0.0018	0.8694
S_103	example	0	0.9997	0.0018	0.9755
S_104	example	0	0.9997	0.0018	0.9755
S_105	example	0	0.9997	0.0018	0.9895
S_106	example	0	0.9997	0.0018	0.6222
S_107	example	0	0.9997	0.0018	0.9840
S_108	example	0	0.9997	0.0018	0.9895
S_109	example	0	0.9997	0.0018	0.9426
S_11	example	0	0.9997	0.0018	0.9970
S_110	example	0	0.9997	0.0018	0.8694
S_111	example	0	0.9997	0.0018	0.9624
S_112	example	0	0.9997	0.0018	0.9426
S_113	example	0	0.9997	0.0018	0.9955
S_114	example	0	0.9997	0.0018	0.8694
S_115	example	0	0.9997	0.0018	0.8694
S_116	example	0	0.9997	0.0018	0.9840
S_117	example	0	0.9997	0.0018	0.9980
S_118	example	0	0.9997	0.0018	0.8694
S_119	example	0	0.9997	0.0018	0.8078
S_12	example	0	0.9997	0.0018	0.9755
S_120	example	0	0.9997	0.0018	0.9840
S_121	example	0	0.9997	0.0018	0.9991
S_122	example	0	0.9997	0.0018	0.9129
S_123	example	0	0.9997	0.0018	0.9426
S_124	example	0	0.9997	0.0018	0.9426
S_125	example	0	0.9997	0.0018	0.3867
S_126	example	0	0.9997	0.0018	0.9955
S_127	example	0	0.9997	0.0018	0.9426
S_128	example	0	0.9997	0.0018	0.9426
S_129	example	0	0.9997	0.0018	0.9895
S_13	example	0	0.9997	0.0018	0.7251
S_130	example	0	0.9997	0.0018	0.9955
S_131	example	0	0.9997	0.0018	0.9624
S_132	example	0	0.9997	0.0018	0.9129
S_133	example	0	0.9997	0.0018	0.8694
S_134	example	0	0.9997	0.0018	0.9426
S_135	example	0	0.9997	0.0018	0.9755
S_136	example	0	0.9997	0.0018	0.9755
S_137	example	0	0.9997	0.0018	0.7251
S_138	example	0	0.9997	0.0018	0.8694
S_139	example	0	0.9997	0.0018	0.9426
S_14	example	0	0.9997	0.0018	0.9624
S_140	example	0	0.9997	0.0018	0.9840
S_141	example	0	0.9997	0.0018	0.9895
S_142	example	0	0.9997	0.0018	0.9624
S_143	example	0	0.9997	0.0018	0.9426
S_144	example	0	0.9997	0.0018	0.9426
S_145	example	0	0.9997	0.0018	0.9980
S_146	example	0	0.9997	0.0018	0.9970
S_147	example	0	0.9997	0.0018	0.9931
S_148	example	0	0.9997	0.0018	0.9895
S_149	example	0	0.9997	0.0018	0.9955
S_15	example	0	0.9997	0.0018	0.6222
S_150	example	0	0.9997	0.0018	0.9895
S_151	example	0	0.9997	0.0018	0.9624
S_152	example	0	0.9997	0.0018	0.9955
