mutation_id	sample_id	cluster_id	cellular_prevalence	cellular_prevalence_std	cluster_assignment_prob
S_1	example	0	0.9999	0.0010	0.9873
S_10	example	0	0.9999	0.0010	0.9924
S_100	example	0	0.9999	0.0010	0.9983
S_101	example	0	0.9999	0.0010	0.9873
S_102	example	0	0.9999	0.0010	0.9785
S_103	example	0	0.9999	0.0010	0.9973
S_104	example	0	0.9999	0.0010	0.7398
S_105	example	0	0.9999	0.0010	0.9994
S_106	example	0	0.9999	0.0010	0.9638
S_107	example	0	0.9999	0.0010	0.9873
S_108	example	0	0.9999	0.0010	0.9996
S_109	example	0	0.9999	0.0010	0.9873
S_11	example	0	0.9999	0.0010	0.9983
S_110	example	0	0.9999	0.0010	0.9924
S_111	example	0	0.9999	0.0010	0.9996
S_112	example	0	0.9999	0.0010	0.9973
S_113	example	0	0.9999	0.0010	0.9955
S_114	example	0	0.9999	0.0010	0.9924
S_115	example	0	0.9999	0.0010	0.9999
S_116	example	0	0.9999	0.0010	0.9924
S_117	example	0	0.9999	0.0010	0.9873
S_118	example	0	0.9999	0.0010	0.9785
S_119	example	0	0.9999	0.0010	0.8344
S_12	example	0	0.9999	0.0010	0.9955
S_120	example	0	0.9999	0.0010	0.8344
S_121	example	0	0.9999	0.0010	0.9999
S_122	example	0	0.9999	0.0010	0.9973
S_123	example	0	0.9999	0.0010	0.9785
S_124	example	0	0.9999	0.0010	0.9873
S_125	example	0	0.9999	0.0010	0.9955
S_126	example	0	0.9999	0.0010	0.9990
S_127	example	0	0.9999	0.0010	0.9983
S_128	example	0	0.9999	0.0010	0.6140
S_129	example	0	0.9999	0.0010	0.9924
S_13	example	0	0.9999	0.0010	0.8984
S_130	example	0	0.9999	0.0010	0.9994
S_131	example	0	0.9999	0.0010	0.9638
S_132	example	0	0.9999	0.0010	0.9785
S_133	example	0	0.9999	0.0010	0.9873
S_134	example	0	0.9999	0.0010	0.9973
S_135	example	0	0.9999	0.0010	0.7398
S_136	example	0	0.9999	0.0010	0.8984
S_137	example	0	0.9999	0.0010	0.9924
S_138	example	0	0.9999	0.0010	0.8344
